date,temp max,temp min
1962-03-12,30.31999969,21.19000053
1962-04-12,26.54999924,20.14999962
1962-05-12,25.95999908,19.81999969
1962-06-12,25.20999908,19.47999954
1962-07-12,27.96999931,19.12999916
1962-08-12,28.06999969,16.89999962
1962-09-12,28.39999962,17.67000008
1962-10-12,28.67000008,17.45999908
1962-11-12,28.98999977,16.64999962
1962-12-12,28.53000069,15.03999996
1963-01-01,28.76000023,15.11999989
1963-02-01,28.73999977,14.5
1963-03-01,29.29999924,15.61999989
1963-04-01,29.61000061,15.14000034
1963-05-01,29.25,15.43999958
1963-06-01,29.70999908,14.76000023
1963-07-01,30.21999931,14.78999996
1963-08-01,29.53000069,15.97000027
1963-09-01,30.62999916,16.11000061
1963-10-01,29.93000031,17.12000084
1963-11-01,31.5,17.82999992
1963-12-01,31.06999969,19.34000015
1963-01-02,30.30999947,16.70999908
1963-02-02,29.95000076,15.82999992
1963-03-02,30.35000038,14.85999966
1963-04-02,30.36000061,14.76000023
1963-05-02,31.26000023,14.96000004
1963-06-02,31.37999916,14.77000046
1963-07-02,31.05999947,14.01000023
1963-08-02,30.95999908,13.40999985
1963-09-02,32.04000092,15.26000023
1963-10-02,31.79999924,16.23999977
1963-11-02,32.00999832,15.93000031
1963-12-02,31.21999931,14.78999996
1963-01-03,32.86000061,18.98999977
1963-02-03,32.15000153,19.21999931
1963-03-03,33.45000076,18.96999931
1963-04-03,32.49000168,19.01000023
1963-05-03,32.74000168,20.20000076
1963-06-03,33.31000137,18.57999992
1963-07-03,32.88999939,19.86000061
1963-08-03,34.16999817,19.57999992
1963-09-03,33.81999969,18.80999947
1963-10-03,33.81999969,19.88999939
1963-11-03,32.88000107,18.94000053
1963-12-03,31.53000069,17.69000053
1963-01-04,33.88999939,21.45000076
1963-02-04,33.99000168,21.23999977
1963-03-04,34.27999878,20.12999916
1963-04-04,33.15999985,19.47999954
1963-05-04,32.88999939,21.38999939
1963-06-04,32.91999817,21.02000046
1963-07-04,32.77000046,21.46999931
1963-08-04,33.97000122,22.45000076
1963-09-04,35.61999893,21.98999977
1963-10-04,34.34000015,21.98999977
1963-11-04,35.13999939,20.64999962
1963-12-04,34.24000168,21.37000084
1963-01-05,35.38999939,23.85000038
1963-02-05,33.86999893,22.53000069
1963-03-05,33.90000153,23.55999947
1963-04-05,34.02999878,22.15999985
1963-05-05,33.70000076,23.0
1963-06-05,35.25,22.82999992
1963-07-05,35.06999969,24.34000015
1963-08-05,34.88999939,23.45000076
1963-09-05,34.52000046,23.07999992
1963-10-05,34.15000153,22.63999939
1963-11-05,34.74000168,22.12999916
1963-12-05,35.0,23.04000092
1963-01-06,33.45999908,24.45000076
1963-02-06,33.40999985,23.95999908
1963-03-06,33.83000183,24.22999954
1963-04-06,32.70999908,22.93000031
1963-05-06,30.03000069,22.82999992
1963-06-06,31.0,23.54000092
1963-07-06,30.78000069,22.5
1963-08-06,27.5,22.25
1963-09-06,29.88999939,23.07999992
1963-10-06,29.30999947,23.45000076
1963-11-06,29.62000084,23.36000061
1963-12-06,32.52999878,23.42000008
1963-01-07,30.32999992,23.06999969
1963-02-07,31.71999931,23.27000046
1963-03-07,28.62999916,22.38999939
1963-04-07,27.12999916,22.13999939
1963-05-07,26.62999916,22.09000015
1963-06-07,26.5,22.02000046
1963-07-07,25.37999916,21.90999985
1963-08-07,25.63999939,21.88999939
1963-09-07,27.09000015,23.22999954
1963-10-07,27.37000084,23.71999931
1963-11-07,28.29000092,23.60000038
1963-12-07,28.12000084,23.40999985
1963-01-08,26.45000076,22.71999931
1963-02-08,28.67000008,23.12000084
1963-03-08,28.67000008,23.07999992
1963-04-08,27.65999985,22.94000053
1963-05-08,26.76000023,22.26000023
1963-06-08,24.95999908,22.12000084
1963-07-08,25.81999969,21.98999977
1963-08-08,27.17000008,21.80999947
1963-09-08,27.21999931,22.07999992
1963-10-08,28.62000084,22.11000061
1963-11-08,26.43000031,22.05999947
1963-12-08,25.10000038,21.98999977
1963-01-09,28.04999924,21.56999969
1963-02-09,28.27000046,21.21999931
1963-03-09,28.35000038,21.67000008
1963-04-09,27.01000023,21.81999969
1963-05-09,27.13999939,21.29000092
1963-06-09,27.95000076,21.98999977
1963-07-09,27.79000092,21.51000023
1963-08-09,27.79000092,21.54999924
1963-09-09,27.14999962,21.94000053
1963-10-09,26.45000076,21.87000084
1963-11-09,27.89999962,22.35000038
1963-12-09,27.62000084,21.54999924
1963-01-10,30.51000023,21.61000061
1963-02-10,30.37000084,21.26000023
1963-03-10,31.21999931,22.30999947
1963-04-10,32.68000031,22.17000008
1963-05-10,31.82999992,20.96999931
1963-06-10,31.04000092,20.63999939
1963-07-10,32.08000183,22.70999908
1963-08-10,32.06000137,22.70999908
1963-09-10,31.42000008,22.29000092
1963-10-10,31.95000076,23.20000076
1963-11-10,31.87999916,21.87000084
1963-12-10,31.84000015,23.25
1963-01-11,31.79000092,20.94000053
1963-02-11,32.36000061,21.13999939
1963-03-11,32.25999832,18.59000015
1963-04-11,31.84000015,18.78000069
1963-05-11,31.85000038,18.45000076
1963-06-11,33.06000137,18.11000061
1963-07-11,30.60000038,16.98999977
1963-08-11,31.28000069,17.52000046
1963-09-11,31.47999954,18.45999908
1963-10-11,32.13000107,18.95000076
1963-11-11,32.20000076,19.30999947
1963-12-11,32.06999969,18.93000031
1963-01-12,31.11000061,19.01000023
1963-02-12,30.71999931,18.87999916
1963-03-12,30.86000061,18.77000046
1963-04-12,30.89999962,18.90999985
1963-05-12,31.14999962,20.11000061
1963-06-12,30.45000076,19.26000023
1963-07-12,30.96999931,17.11000061
1963-08-12,31.46999931,17.42000008
1963-09-12,31.80999947,18.04999924
1963-10-12,31.70000076,16.20000076
1963-11-12,32.27000046,17.44000053
1963-12-12,32.70999908,18.71999931
1964-01-01,31.03000069,13.98999977
1964-02-01,30.18000031,15.31000042
1964-03-01,30.35000038,15.64000034
1964-04-01,30.38999939,16.48999977
1964-05-01,30.46999931,16.20000076
1964-06-01,30.62999916,16.64999962
1964-07-01,30.53000069,16.19000053
1964-08-01,31.11000061,15.68000031
1964-09-01,30.70999908,15.17000008
1964-10-01,30.95000076,15.5
1964-11-01,28.96999931,13.89999962
1964-12-01,28.61000061,14.09000015
1964-01-02,28.59000015,13.39999962
1964-02-02,28.11000061,12.30000019
1964-03-02,29.23999977,14.31999969
1964-04-02,30.31999969,13.90999985
1964-05-02,30.54000092,14.64000034
1964-06-02,30.35000038,16.02000046
1964-07-02,30.46999931,16.18000031
1964-08-02,30.29000092,15.63000011
1964-09-02,30.57999992,15.63000011
1964-10-02,30.51000023,15.67000008
1964-11-02,29.79000092,16.73999977
1964-12-02,32.09999847,17.36000061
1964-01-03,33.08000183,18.63999939
1964-02-03,33.25,19.13999939
1964-03-03,35.16999817,19.28000069
1964-04-03,32.84000015,18.37000084
1964-05-03,31.84000015,17.95999908
1964-06-03,32.56999969,17.20000076
1964-07-03,32.47999954,18.45999908
1964-08-03,33.13000107,19.60000038
1964-09-03,33.52000046,19.92000008
1964-10-03,33.74000168,20.13999939
1964-11-03,33.81000137,19.63999939
1964-12-03,33.16999817,19.59000015
1964-01-04,34.61000061,21.93000031
1964-02-04,34.29999924,19.65999985
1964-03-04,34.43000031,20.62000084
1964-04-04,33.90000153,21.29000092
1964-05-04,34.22000122,20.11000061
1964-06-04,34.40999985,22.48999977
1964-07-04,35.13999939,22.77000046
1964-08-04,35.72999954,24.45999908
1964-09-04,35.79999924,24.37000084
1964-10-04,35.34999847,23.32999992
1964-11-04,36.02999878,23.45999908
1964-12-04,36.36000061,24.78000069
1964-01-05,36.06999969,23.67000008
1964-02-05,35.63000107,23.27000046
1964-03-05,35.77999878,22.15999985
1964-04-05,35.90000153,24.13999939
1964-05-05,36.11000061,23.61000061
1964-06-05,36.0,22.86000061
1964-07-05,35.81999969,23.70000076
1964-08-05,35.59999847,24.47999954
1964-09-05,35.29000092,23.69000053
1964-10-05,35.36999893,22.82999992
1964-11-05,34.63000107,21.87999916
1964-12-05,33.84999847,23.37999916
1964-01-06,34.70000076,23.82999992
