_id,Date,Rain,Temp Max,Temp Min
15737,31-01-1994,0,29.37000084,13.63000011
15738,01-02-1994,0,28.75,13.14999962
15739,02-02-1994,0,28.87000084,13.98999977
15740,03-02-1994,0,30.78000069,15.18000031
15741,04-02-1994,0,32.22000122,16.21999931
15742,05-02-1994,0,32,17.15999985
15743,06-02-1994,0,30.04000092,16.79000092
15744,07-02-1994,0,30.62000084,17.63999939
15745,08-02-1994,0,30.36000061,16.42000008
15746,09-02-1994,0,29.07999992,14.02000046
15747,10-02-1994,0,29.54999924,15.17000008
15748,11-02-1994,0,29.43000031,15.02999973
15749,12-02-1994,0,28.61000061,15.22000027
15750,13-02-1994,0,29.28000069,15.06000042
15751,14-02-1994,0,30.12999916,15.10999966
15752,15-02-1994,0,29.59000015,16.11000061
15753,16-02-1994,0,29.68000031,16.14999962
15754,17-02-1994,0,30.63999939,16.64999962
15755,18-02-1994,0,31.29999924,17.01000023
15756,19-02-1994,0,31.29000092,16.79999924
15757,20-02-1994,0,31.48999977,17.19000053
15758,21-02-1994,0,29.52000046,17.10000038
15759,22-02-1994,0,27.78000069,16.10000038
15760,23-02-1994,0,27.42000008,13.55000019
15761,24-02-1994,0,30.25,15.26000023
15762,25-02-1994,0,33.36999893,16.71999931
15763,26-02-1994,0,32.11999893,16.87999916
15764,27-02-1994,0,32.68000031,17.18000031
15765,28-02-1994,0,33.16999817,17.12999916
15766,01-03-1994,0,33.22000122,16.63999939
15767,02-03-1994,0,32.54000092,17.28000069
15768,03-03-1994,0,33.25,17.70999908
15769,04-03-1994,0,32.72000122,18.28000069
15770,05-03-1994,0,33.61000061,18.67000008
15771,06-03-1994,0,33.72999954,18.73999977
15772,07-03-1994,0,33.27000046,19.29000092
15773,08-03-1994,0,33.43999863,18.03000069
15774,09-03-1994,0,33.83000183,19.02000046
15775,10-03-1994,0,34.34999847,18.90999985
15776,11-03-1994,0,33.61999893,19.04999924
15777,12-03-1994,0,33.63999939,18.86000061
15778,13-03-1994,0,34.29000092,19.56999969
15779,14-03-1994,0,34.93000031,20.40999985
15780,15-03-1994,0,35.29000092,20.04000092
15781,16-03-1994,0,35.02999878,21.07999992
15782,17-03-1994,0,35.25,21.57999992
15783,18-03-1994,0,36.06000137,22.37999916
15784,19-03-1994,0,35.81000137,22.90999985
15785,20-03-1994,0,35.77999878,23.32999992
15786,21-03-1994,0,34.5,21.59000015
15787,22-03-1994,0,34.29000092,20.64999962
15788,23-03-1994,0,34.09000015,20.26000023
15789,24-03-1994,0,35.22999954,20.62999916
15790,25-03-1994,0,35.16999817,20.21999931
15791,26-03-1994,0,35.90999985,20.76000023
15792,27-03-1994,0,36.27999878,21.23999977
15793,28-03-1994,0,35.70999908,21.77000046
15794,29-03-1994,0,35.75999832,21.86000061
15795,30-03-1994,0,35.75,22.26000023
15796,31-03-1994,0,35.63000107,23.20999908
15797,01-04-1994,0,35.56000137,22.02000046
15798,02-04-1994,0,33.90999985,20.62999916
15799,03-04-1994,0,33.63999939,20.28000069
15800,04-04-1994,0,33.63000107,20.61000061
15801,05-04-1994,0,34.47999954,21.38999939
